time,latitude,longitude,depth,mag
2012-07-26T05:31:38.020Z,33.466,76.105,56.2,4.4
2012-01-04T16:31:25.020Z,33.624,74.892,22.8,4.2
2011-10-22T21:07:39.230Z,32.939,75.811,10,4.2
2011-09-24T15:21:34.660Z,34.042,75.249,61,4.2
2011-08-23T01:22:56.280Z,33.095,76.858,14.6,5.1
2011-07-28T18:42:35.260Z,33.32,75.998,33.3,4.5
2011-04-28T09:53:02.500Z,33.047,76.817,10,4.2
2010-09-11T03:10:40.870Z,33.718,75.368,25.8,4.7
2010-08-14T03:08:17.630Z,34.124,78.735,67.9,4.1
2010-06-04T11:58:10.100Z,33.243,76.297,35,4.5
2010-03-23T09:59:56.620Z,33.78,75.151,39.8,4.2
2010-03-13T16:45:07.000Z,34.292,75.71,56.6,4.7
2009-07-17T11:07:52.400Z,32.716,76.709,35,4.6
2009-06-04T13:50:57.680Z,32.931,76.177,10,3.8
2009-05-19T19:29:48.900Z,33.198,75.787,20.8,4.9
2009-01-31T03:07:19.800Z,32.528,76.564,36.1,3.9
2008-09-14T22:11:30.150Z,32.581,76.381,23.6,3.9
2008-07-05T10:28:28.390Z,33.467,75.942,56.6,3.5
2008-06-15T11:02:01.990Z,32.97,76.371,36.3,4.3
2008-05-29T22:30:41.190Z,32.586,76.087,45.9,3.5
2008-05-23T21:17:25.250Z,33.438,75.955,11.5,3.4
2008-05-20T23:42:18.470Z,32.731,75.825,35,3.8
2008-05-10T06:35:55.860Z,33.06,76.116,44.7,4.4
2008-04-05T19:28:04.600Z,33.238,75.922,65.2,3.5
2008-03-24T09:48:29.350Z,32.608,76.061,10,3.6
2008-03-16T05:44:33.540Z,33.772,74.846,10,3.5
2008-03-11T16:44:06.030Z,32.978,76.328,35,3.7
2008-03-08T03:33:17.220Z,33.31,76.571,37.2,3.8
2008-03-05T22:57:12.520Z,33.768,75.028,39.4,4.2
2008-02-29T18:40:53.500Z,33.75,75.008,51.1,3.8
2008-02-25T07:25:06.430Z,33.706,74.941,28.3,4.3
2008-02-20T02:36:03.990Z,33.818,74.523,37,3.6
2008-02-08T13:01:45.310Z,34.922,77.191,10,3.5
2008-01-03T14:10:20.250Z,33.283,75.928,35,3.6
2007-12-11T16:01:32.250Z,34.923,77.428,10,4.3
2007-12-11T15:56:38.640Z,34.99,77.478,15.5,5.1
2007-10-06T01:39:05.380Z,34.517,74.396,51.2,4.2
2007-10-04T05:14:18.150Z,32.685,76.336,10,4.6
2007-08-01T04:53:38.700Z,34.075,74.612,47.6,3.4
2007-06-22T19:12:43.310Z,34.301,74.375,48.9,3.5
2007-06-17T23:55:06.360Z,33.008,78.231,54.7,3.8
2007-06-14T19:52:38.600Z,32.112,76.823,10,4.3
2007-06-14T00:27:28.960Z,33.177,75.826,29,3.6
2007-04-02T00:40:25.930Z,34.833,76.256,35,3.9
2007-02-03T00:51:15.610Z,32.098,78.582,35,4.7
2006-12-26T16:25:20.240Z,33.179,75.817,33.3,3.5
2006-12-17T21:39:19.390Z,34.316,76.232,35,3.3
2006-09-28T20:47:13.920Z,33.227,75.493,10,4
2006-09-13T04:23:11.280Z,32.729,76.615,35,3.6
2006-07-18T10:42:29.530Z,32.783,77.38,31.1,4.2
2006-06-26T04:18:45.420Z,34.886,74.45,10,3.8
2006-06-11T00:59:44.040Z,32.729,76.198,10,3.5
2006-05-26T00:41:41.660Z,33.148,76.241,66.8,5
2006-05-09T13:30:19.390Z,32.661,76.686,14.3,4.4
2006-04-21T23:20:59.670Z,32.569,76.664,35,3.9
2006-04-04T11:40:17.010Z,33.289,75.917,45,3.8
2006-03-29T10:56:56.910Z,33.194,75.741,45,3.7
2006-01-17T17:26:52.040Z,32.791,78.581,10,4.6
